URL,L(HN),,L(URL),,N(DIN),,N(DT),,N(PT),,N(PAT),,A(DTC),,A(PTC),,LL(DT),,LL(PT),
www.holishit.in/wp-content/plugins/wpclef/assets/src/sass/neat/grid/binarystings.php,8,1.107142857,84,18.96428571,3,0.428571429,1,0.535714286,9,5.571428571,0,0.464285714,8,1.904761786,6.66667,3.486646786,8,3.5,10,0.392857143
www.grosirkecantikan.com/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/images/binarystings.php,16,6.892857143,122,56.96428571,3,0.428571429,1,0.535714286,10,6.571428571,0,0.464285714,16,6.095238214,8.8,1.353316786,16,4.5,14,4.392857143
www.eddenya.com,7,2.107142857,15,50.03571429,2,1.428571429,1,0.535714286,0,3.428571429,0,0.464285714,7,2.904761786,15,4.846683214,7,4.5,15,5.392857143
www.marialorena.com.br/wp-content/plugins/hello123/8888ytc6r.exe,11,1.892857143,64,1.035714286,4,0.571428571,2,0.464285714,4,0.571428571,0,0.464285714,7,2.904761786,9.5,0.653316786,11,0.5,10,0.392857143
www.stopmeagency.free.fr/9uj8n76b5.exe,12,2.892857143,38,27.03571429,4,0.571428571,2,0.464285714,1,2.428571429,0,0.464285714,8,1.904761786,13,2.846683214,12,0.5,13,3.392857143
www.cerquasas.it/wp-admin/user/UPS_INVOICE.rar,9,0.107142857,46,19.03571429,3,0.428571429,1,0.535714286,3,0.428571429,0,0.464285714,9,0.904761786,9,1.153316786,9,2.5,8,1.607142857
www.icybrand.eu/pathway/created/accelerated/mailuserlg/savealife/trwrwbejtw.zip,8,1.107142857,79,13.96428571,3,0.428571429,1,0.535714286,6,2.571428571,0,0.464285714,8,1.904761786,9.66667,0.486646786,8,3.5,11,1.392857143
www.icybrand.eu/pathway/created/accelerated/mailuserlg/savealife/trwrwbejtw/viewer.php,8,1.107142857,86,20.96428571,3,0.428571429,1,0.535714286,7,3.571428571,0,0.464285714,8,1.904761786,9.14286,1.010456786,8,3.5,11,1.392857143
www.pieiron.co.uk,7,2.107142857,17,48.03571429,3,0.428571429,2,0.464285714,0,3.428571429,0,0.464285714,4.5,5.404761786,17,6.846683214,7,4.5,17,7.392857143
www.proascolcolombia.com/portal/modules/mod_banners/Imprimir_IntimacaoCTI2015-03698541.rar?cli=Cliente&/yRpBKPujKU/nNqRc6QsuO.php,16,6.892857143,129,63.96428571,4,0.571428571,1,0.535714286,6,2.571428571,1,0.535714286,16,6.095238214,15.5,5.346683214,16,4.5,11,1.392857143
